lon,lat
-1.109573,51.798774
-2.39995,53.392663
-1.297994,50.864895
-0.334642,51.970188
-2.155165,52.233593
1.693422,52.724552
-0.446685,51.252356
-1.80728,54.759287
0.861309,51.083771
-0.98347,50.952507
-0.630607,51.812155
-1.338576,52.986997
-1.660247,55.612628
-1.464683,51.198492
0.576829,51.360206
-2.838185,54.262246
-0.953508,52.894335
-0.331154,53.228847
-2.871642,51.430258
-0.792606,51.175504
-1.373998,54.640998
-3.732046,50.593336
0.154361,51.845355
0.791003,52.974051
-1.420715,52.412081
-1.78107,50.875792
-1.520103,52.736163
-2.648617,52.933128
-2.079144,50.642162
-3.723731,51.519739
-1.100783,51.51098
1.091353,51.320768
-2.983638,56.471723
-1.276666,54.011338
-2.650749,55.988748
-4.158371,51.566501
-4.230955,50.38697
-3.139935,51.805607
-0.214884,52.418007
-2.547711,50.80277
-1.965318,51.577359
0.220263,51.115696
-1.808128,51.20855
0.202943,53.417963
-1.754279,53.231285
-1.789529,52.143604
-0.318173,50.845896
-2.369444,51.585773
-3.779552,53.299158
-0.129788,51.292686
-1.034988,52.571388
-3.028188,53.254068
-5.413178,50.196328
-2.103194,55.019999
-1.483083,52.106697
-2.568475,51.342204
-3.131009,55.967307
-3.717656,52.877528
-0.548219,52.566421
-2.872892,50.73784
0.579683,51.665922
-1.334146,53.274624
-6.949025,54.883646
-3.682808,55.017391
-2.79003,52.527731
-2.128793,53.231468
0.363682,52.237004
-0.055106,52.037838
-3.034107,50.979326
-1.296463,53.741815
-4.911735,51.613172
-2.722294,51.080586
-4.692135,55.835218
-6.264123,54.866803
-2.71271,53.211427
-2.294266,51.118416
-3.39015,53.322312
-3.569485,51.225155
1.191885,51.938687
0.68828,52.517818
-2.024423,54.085411
-4.259336,55.807982
-2.330794,54.165846
0.283078,51.519185
-4.518805,57.33976
-4.678954,53.282337
-0.015482,50.949063
-2.896447,51.960565
-4.889841,50.579346
-3.520314,52.331793
-5.582077,54.549622
-4.800164,50.257713
-3.199222,50.752926
-7.457325,54.15933
-1.994144,51.86508
-3.888411,56.056878
-2.431788,50.542466
-3.499808,50.3987
1.098146,52.894495
-2.22982,52.512165
-1.767406,53.572877
-1.045299,52.094975
-4.21988,54.829003
0.494135,50.894317
-6.372691,54.490971
0.458102,52.882498
-0.990984,53.200301
-0.825606,54.313371
-0.604134,52.198471
-4.848316,51.983468
-4.082826,50.857405
-5.222835,51.721965
-0.400837,53.769168
1.396572,51.177377
-0.928753,53.891896
-2.179747,54.651467
1.556455,52.315002
-3.957096,57.089186
-1.532777,51.540469
-0.377982,51.57515
-1.74752,54.372744
-3.700203,57.245673
-5.701934,50.124495
-3.845106,50.231839
-3.827538,55.7882
-5.948645,54.637262
-2.425647,54.45314
-4.05749,52.521469
1.269481,52.602108
-1.63227,55.208195
-5.152275,55.599527
-0.825434,51.571489
-6.312717,55.609121
0.833608,51.794972
-0.610287,52.935766
0.993073,52.447546
-0.031855,51.569856
-0.629241,50.89493
-6.753205,55.169256
-3.040666,53.766323
-4.569751,50.667805
-1.119607,53.497956
-3.020502,52.930515
-2.13751,55.900542
-2.695784,52.159719
-2.328224,51.873612
-1.149187,51.232592
-5.201504,56.587134
-2.863513,56.18511
-5.191392,50.022717
-3.386746,58.596981
0.729377,52.22911
-6.289845,49.969258
-4.003325,57.942012
-1.861222,52.584227
-1.188843,50.603396
-3.333139,51.470877
-0.972789,54.57535
-4.356856,53.154277
-5.773746,56.607033
-2.631096,53.76918
-2.602869,51.773623
0.189041,50.756538
-5.097256,50.295147
-0.517961,54.318972
-4.176881,51.952839
-1.163907,54.307202
-1.976733,57.329038
-6.405594,55.228089
-4.669071,51.169255
-3.672617,50.908974
-1.961821,55.667004
-5.829883,54.248818
-2.419119,56.798331
-3.221872,56.307879
-7.824283,54.259247
